TransactionID,UserID,ProductCategory,PaymentMethod,TransactionAmount,ShippingAddressChanged,IsHighRiskCountry,NumPrevTransactions,DeviceType,UsedVPN,SessionDuration,IsFraud
26,3747,Clothing,Net Banking,8.52,No,No,24,Mobile,No,164.85,No
27,1189,Beauty,Debit Card,14.55,No,No,3,Desktop,No,137.67,No
28,3734,Clothing,Net Banking,16.92,No,Yes,42,Tablet,No,311.94,No
29,4005,Home,UPI,99.54,No,Yes,46,Tablet,No,250.41,No
30,5658,Clothing,Wallet,132.96,No,No,22,Desktop,No,335.96,No
31,2899,Home,Credit Card,196.36,Yes,No,59,Desktop,Yes,371.66,No
32,8734,Clothing,Wallet,282.41,Yes,Yes,87,Mobile,No,189.37,Yes
33,2267,Home,Net Banking,22.53,Yes,No,20,Tablet,No,360.34,No
34,2528,Beauty,Credit Card,37.07,No,No,65,Mobile,No,197.81,No
35,4556,Sports,Wallet,27.49,No,No,86,Mobile,No,307.46,No
36,4890,Home,Credit Card,44.44,Yes,No,50,Mobile,No,176.31,No
37,9838,Home,Net Banking,246.12,No,No,14,Desktop,No,313.21,No
38,6393,Beauty,UPI,85.59,No,No,57,Tablet,No,297.91,No
39,9792,Home,UPI,134.01,No,No,25,Desktop,No,189.71,No
40,9433,Electronics,Wallet,67.36,No,No,89,Desktop,No,164.16,No
41,8513,Beauty,Debit Card,2.93,No,No,91,Tablet,Yes,375.06,No
42,3612,Electronics,Net Banking,6.63,No,No,58,Tablet,Yes,254.7,No
43,8041,Beauty,Wallet,77.2,No,No,89,Desktop,No,401.2,No
44,7235,Home,Wallet,126.87,No,No,44,Desktop,No,245.66,No
45,6486,Electronics,UPI,24.25,No,No,65,Desktop,No,430.22,No
46,8099,Home,Credit Card,127.98,No,Yes,34,Tablet,No,205.16,No
47,1775,Beauty,Net Banking,166.42,No,No,95,Tablet,Yes,447.27,No
48,9226,Home,Credit Card,53.09,No,No,93,Mobile,No,317.44,No
49,4152,Electronics,Net Banking,137.21,No,No,63,Tablet,No,339.98,No
50,2585,Electronics,Debit Card,51.76,No,No,83,Desktop,No,199.6,No
51,4943,Home,UPI,113.43,No,No,76,Tablet,No,372.92,No
52,8555,Clothing,Debit Card,144.39,No,No,26,Tablet,No,376.39,No
53,4073,Beauty,Wallet,481.92,No,No,86,Tablet,No,267.56,No
54,2021,Beauty,UPI,42.37,No,No,79,Desktop,No,86.6,No
55,4843,Home,Wallet,52.94,No,No,30,Mobile,No,188.67,No
56,8989,Clothing,Debit Card,18.11,No,No,11,Mobile,No,188.65,No
57,7873,Electronics,Net Banking,22.82,No,No,96,Desktop,No,344.94,No
58,6675,Sports,Wallet,118.22,No,No,44,Desktop,No,253.5,No
59,1161,Sports,Credit Card,248.95,No,No,31,Mobile,No,255.44,No
60,5297,Home,Net Banking,50.19,No,No,53,Desktop,No,243.37,No
61,1995,Clothing,Net Banking,19.83,Yes,Yes,65,Tablet,No,446.93,Yes
62,8629,Clothing,Debit Card,33.56,Yes,No,86,Tablet,No,304.54,No
63,2016,Beauty,Debit Card,60.71,No,No,31,Mobile,Yes,319.77,No
64,8869,Electronics,UPI,34.34,No,No,14,Tablet,No,238.06,No
65,7439,Clothing,UPI,26.6,No,No,54,Mobile,No,297.04,No
66,8892,Sports,Credit Card,133.17,Yes,No,40,Desktop,Yes,202.43,No
67,7863,Electronics,Net Banking,0.79,No,No,39,Mobile,No,334.37,No
68,8916,Electronics,Credit Card,77.49,No,No,71,Mobile,No,185.34,No
69,9529,Home,Credit Card,157.87,No,No,48,Tablet,No,374.42,No
70,1878,Clothing,Debit Card,30.96,No,No,85,Mobile,No,226.5,No
71,5887,Home,Credit Card,92.46,No,No,37,Mobile,No,394.84,No
72,5859,Clothing,Credit Card,110.53,No,No,55,Mobile,No,490.73,No
73,7331,Beauty,Wallet,106.43,No,No,33,Desktop,No,300.11,No
74,9571,Home,UPI,59.03,No,No,0,Tablet,Yes,431.16,No
75,9684,Home,UPI,42.55,No,No,9,Tablet,No,375.14,No
76,8208,Sports,Net Banking,180.74,No,No,39,Mobile,No,156.72,No
77,6276,Home,UPI,142.07,No,No,15,Mobile,No,311.09,No
78,3062,Clothing,Net Banking,38.75,No,No,87,Desktop,No,350.12,No
79,1064,Sports,Wallet,10.87,Yes,No,45,Tablet,No,359.77,No
80,9006,Home,UPI,7.45,No,No,23,Tablet,No,317.82,No
81,3568,Home,Wallet,9.9,No,No,13,Mobile,No,316.53,No
82,6463,Beauty,UPI,87.44,No,No,89,Desktop,No,300.51,No
83,3027,Home,UPI,5.3,No,No,38,Desktop,No,313.32,No
84,3695,Electronics,Wallet,41.09,No,Yes,17,Mobile,No,177.63,No
85,6258,Sports,Credit Card,139.92,No,No,83,Mobile,No,276.38,No
86,6618,Electronics,Credit Card,34.86,No,No,40,Mobile,No,154.7,No
87,7736,Sports,Credit Card,144.1,No,No,55,Mobile,No,250.24,No
88,1391,Beauty,Credit Card,136.83,No,No,35,Mobile,No,240.92,No
89,6892,Home,UPI,28.21,Yes,No,23,Desktop,No,234.53,No
90,4561,Home,Debit Card,130.5,No,No,89,Desktop,Yes,194.8,No
91,7184,Home,Wallet,137.74,Yes,No,28,Mobile,No,326.93,No
92,4099,Sports,Debit Card,50.66,No,No,21,Mobile,No,268.19,No
93,7278,Home,Debit Card,23.63,No,No,10,Tablet,No,257.96,No
94,9392,Electronics,Net Banking,73.66,No,No,40,Desktop,No,159.24,No
95,4104,Home,Credit Card,254.34,No,No,48,Desktop,No,270.21,No
96,8215,Beauty,UPI,102.06,No,No,10,Mobile,No,414.55,No
97,3454,Electronics,Credit Card,18.99,No,No,51,Desktop,No,416.08,No
98,9996,Home,Credit Card,114.81,No,No,66,Desktop,Yes,337.35,No
99,3731,Home,Debit Card,55.72,No,No,84,Desktop,No,270.48,No
100,9154,Clothing,Net Banking,89.53,Yes,No,74,Tablet,No,355.9,No
101,6056,Sports,Credit Card,132.45,No,No,7,Desktop,No,233.26,No
102,9110,Electronics,Wallet,72.35,Yes,No,30,Mobile,No,270.07,No
103,4840,Clothing,Wallet,168.19,No,No,73,Desktop,No,225.75,No
104,2028,Beauty,Credit Card,128.07,No,No,5,Desktop,No,390.84,No
105,8385,Sports,Debit Card,95.47,No,No,80,Tablet,Yes,378,No
106,1502,Electronics,Debit Card,16.35,No,No,70,Desktop,No,296.53,No
107,7910,Home,UPI,180.76,No,No,95,Tablet,No,473.13,No
108,7938,Electronics,Net Banking,274.74,No,No,12,Tablet,No,341.25,No
109,5488,Home,Debit Card,14.73,No,No,5,Tablet,No,335.62,No
110,1206,Sports,UPI,66.99,No,No,66,Desktop,No,324.91,No
111,6134,Home,Wallet,29.96,No,No,26,Mobile,No,173.77,No
112,6977,Beauty,Wallet,140.46,No,No,44,Mobile,No,210.57,No
113,8721,Home,Wallet,127.88,No,No,25,Desktop,No,294.54,No
114,8035,Beauty,Credit Card,15.19,No,No,3,Tablet,No,295.36,No
115,2484,Sports,Net Banking,209.58,No,No,36,Mobile,No,358.98,No
116,8858,Sports,UPI,19.96,No,Yes,20,Desktop,No,233.21,No
117,1863,Electronics,Net Banking,159.58,No,No,27,Mobile,No,307.07,No
118,3790,Beauty,Credit Card,61.06,No,No,81,Desktop,Yes,308.86,No
119,8408,Beauty,UPI,39.79,No,No,31,Tablet,No,312.82,No
120,9755,Clothing,UPI,17.23,No,No,52,Mobile,No,301.64,No
121,6116,Clothing,Debit Card,18.35,No,No,32,Desktop,No,159.62,No
122,7019,Clothing,Net Banking,108.44,No,No,25,Desktop,Yes,73.88,No
123,2757,Home,Net Banking,79.95,No,No,16,Mobile,Yes,205.82,No
124,8574,Clothing,Debit Card,13.02,No,No,55,Desktop,No,246.89,No
125,7374,Beauty,Wallet,11.96,No,No,92,Mobile,Yes,182.15,No
126,7892,Home,Credit Card,7.51,No,No,83,Desktop,No,294.43,No
127,2678,Sports,Net Banking,136.17,No,No,29,Mobile,Yes,409.01,No
128,4242,Electronics,Debit Card,124.44,No,No,4,Tablet,No,372.6,No
129,5636,Clothing,UPI,6.02,No,No,5,Mobile,Yes,346.63,No
130,2059,Sports,Debit Card,82.16,No,Yes,61,Desktop,Yes,398.53,Yes
131,7668,Beauty,Wallet,8.85,No,No,9,Tablet,No,207.54,No
132,4157,Electronics,Credit Card,234.08,Yes,No,69,Tablet,Yes,254.32,No
133,6915,Sports,Wallet,237.64,No,No,9,Mobile,No,361.48,No
134,3693,Electronics,UPI,119.81,No,No,84,Mobile,No,252.55,No
135,4627,Clothing,UPI,260.62,No,No,43,Mobile,No,258.02,No
136,6450,Beauty,UPI,166.84,No,No,55,Tablet,No,486.24,No
137,2663,Electronics,UPI,176.34,No,No,3,Tablet,Yes,309.54,No
138,6592,Sports,Debit Card,84.33,No,No,12,Mobile,No,476.36,No
139,8392,Clothing,UPI,36.54,No,No,73,Desktop,No,117.67,No
140,2306,Clothing,UPI,24.56,No,No,79,Tablet,No,236.91,No
141,7776,Sports,Debit Card,39.63,Yes,No,18,Mobile,No,340.88,No
142,6864,Sports,UPI,99.02,No,No,69,Desktop,No,309.37,No
143,8526,Electronics,Wallet,18.95,Yes,No,89,Mobile,No,94.45,No
144,9901,Home,Wallet,29.93,No,No,61,Tablet,No,277.04,No
145,6575,Clothing,Net Banking,63.12,No,No,8,Tablet,No,547.3,No
146,6530,Electronics,Wallet,26.53,No,No,45,Mobile,No,324.69,No
147,5413,Sports,Credit Card,88.83,No,No,55,Desktop,No,360.44,No
148,4748,Electronics,Credit Card,256.62,No,No,73,Tablet,No,235.61,No
149,1663,Sports,Credit Card,137.87,No,No,39,Mobile,No,324.33,No
150,2998,Beauty,Debit Card,109.79,Yes,No,66,Mobile,No,298.77,No
151,8994,Sports,Wallet,87.4,No,No,82,Desktop,Yes,411.88,No
152,2495,Sports,Credit Card,66.93,No,No,61,Desktop,No,408.7,No
153,4304,Sports,Net Banking,20.65,No,No,98,Tablet,No,340.75,No
154,4763,Home,Debit Card,225.1,No,No,45,Desktop,No,307.1,No
155,6232,Sports,Net Banking,28.57,Yes,No,5,Desktop,No,132.09,No
156,2853,Clothing,Wallet,9.58,No,No,28,Tablet,No,128.6,No
157,7585,Clothing,UPI,138.64,No,No,18,Mobile,No,308.19,No
158,2291,Electronics,Net Banking,19.31,No,No,14,Tablet,No,387.46,No
159,4581,Home,UPI,46.5,No,No,56,Tablet,No,433.17,No
160,8554,Electronics,Debit Card,2.87,No,No,37,Desktop,No,211.03,No
161,8280,Clothing,Net Banking,14.74,No,Yes,20,Desktop,Yes,149.08,Yes
162,2636,Clothing,Net Banking,19.02,No,No,50,Mobile,Yes,393.3,No
163,4696,Beauty,Debit Card,5.59,No,No,38,Desktop,No,218.53,No
164,1698,Sports,Debit Card,106.9,No,No,86,Mobile,No,142.29,No
165,5737,Clothing,Credit Card,181.41,No,No,19,Mobile,No,250.63,No
166,1854,Electronics,Wallet,46.73,No,No,1,Mobile,No,248.89,No
167,9164,Electronics,Net Banking,207.61,No,No,31,Tablet,No,432.02,No
168,6855,Sports,Net Banking,24,Yes,No,91,Desktop,No,386.56,No
169,8392,Sports,Debit Card,39.36,No,No,3,Desktop,Yes,226.26,No
170,7528,Beauty,Debit Card,16.34,No,No,6,Mobile,Yes,439.8,No
171,6249,Home,Wallet,96.91,Yes,No,2,Desktop,No,312.5,No
172,6172,Electronics,Debit Card,54.45,No,No,24,Mobile,Yes,406.08,No
173,2707,Sports,UPI,95.01,No,No,8,Desktop,No,432.72,No
174,6791,Electronics,UPI,143.41,No,No,86,Tablet,No,273.74,No
175,6535,Sports,UPI,78.9,No,No,86,Desktop,No,357.13,No
176,5931,Clothing,UPI,98.79,No,No,25,Mobile,No,259.32,No
177,4510,Electronics,Wallet,273.72,No,No,63,Tablet,Yes,393.01,No
178,1202,Clothing,Net Banking,35.53,No,No,17,Desktop,No,309.03,No
179,5218,Electronics,UPI,44.5,No,No,87,Tablet,No,396.03,No
180,9958,Home,Debit Card,126.48,Yes,No,90,Mobile,No,452.48,No
181,5389,Beauty,UPI,94.5,No,Yes,1,Mobile,Yes,354.72,Yes
182,3327,Clothing,Wallet,19.67,Yes,No,0,Desktop,Yes,290.65,Yes
183,9004,Sports,Debit Card,47.18,No,No,47,Mobile,No,292.32,No
184,3931,Home,UPI,63.08,No,No,79,Desktop,No,4.3,No
185,8777,Electronics,Net Banking,54.37,No,No,62,Mobile,Yes,228.72,No
186,1197,Clothing,Debit Card,19.63,Yes,No,87,Mobile,No,393.26,No
187,8125,Electronics,Debit Card,258.27,No,No,35,Mobile,Yes,396.99,No
188,2930,Electronics,Net Banking,143.68,No,No,62,Desktop,Yes,226.54,No
189,7287,Electronics,Debit Card,65.65,No,No,74,Desktop,No,316.46,No
190,9800,Beauty,UPI,113.96,No,No,25,Desktop,No,281.07,No
191,5282,Beauty,Debit Card,227.58,No,No,5,Desktop,No,368.96,No
192,3511,Sports,UPI,14.64,Yes,No,25,Mobile,No,520.86,No
193,1659,Clothing,Net Banking,28.82,No,No,92,Tablet,No,370.85,No
194,3811,Home,Credit Card,78.24,No,No,42,Desktop,Yes,232.98,No
195,8098,Home,Net Banking,160.45,No,No,0,Mobile,Yes,292.16,No
196,7546,Home,UPI,3.69,Yes,No,8,Mobile,No,440.19,No
197,2986,Electronics,Wallet,413.63,Yes,No,26,Desktop,No,159.13,No
198,9338,Beauty,Net Banking,60.68,No,No,70,Desktop,No,238.49,No
199,3911,Clothing,Wallet,44.51,No,No,2,Mobile,Yes,371,No
200,2734,Electronics,Wallet,34.63,No,No,60,Desktop,No,429.43,No
201,2843,Beauty,UPI,19.16,No,No,72,Desktop,Yes,360.9,No
202,9680,Beauty,UPI,156.82,No,No,1,Tablet,No,239.33,No
203,3976,Clothing,Credit Card,311.03,No,No,73,Tablet,No,353.65,No
204,2959,Clothing,Debit Card,53.38,No,No,80,Desktop,No,341.43,No
205,6759,Clothing,Net Banking,304.54,No,No,30,Tablet,No,335.08,No
206,7694,Electronics,UPI,173.61,No,No,64,Tablet,No,290.29,No
207,3385,Sports,Net Banking,65.59,No,No,17,Desktop,Yes,305.3,No
208,5736,Clothing,Wallet,112.09,No,No,5,Mobile,No,209.25,No
209,2802,Sports,Debit Card,57.09,Yes,No,41,Mobile,Yes,548.02,No
210,9155,Electronics,Credit Card,81.81,No,No,67,Mobile,No,315.7,No
211,9120,Sports,Net Banking,5.98,No,No,3,Mobile,No,354.85,No
212,7616,Home,Debit Card,119.16,Yes,No,98,Tablet,No,278.21,No
213,6534,Sports,Credit Card,5.43,No,No,3,Tablet,No,384.53,No
214,5061,Clothing,Net Banking,169.87,No,Yes,64,Desktop,Yes,170.16,Yes
215,1262,Electronics,Debit Card,174.27,Yes,No,40,Desktop,No,125.44,No
216,7287,Clothing,UPI,27.06,No,No,42,Mobile,No,296.95,No
217,9815,Home,Net Banking,39.11,No,No,94,Mobile,No,505.41,No
218,3049,Clothing,Debit Card,65.64,No,No,54,Desktop,Yes,420.83,No
219,6423,Clothing,Credit Card,90.8,No,No,18,Desktop,No,219.16,No
220,5548,Clothing,Debit Card,33.88,No,No,20,Mobile,No,351.61,No
221,4108,Beauty,UPI,89.77,Yes,No,57,Tablet,No,236.4,No
222,8158,Home,Net Banking,35.35,No,No,29,Tablet,No,342.64,No
223,8400,Clothing,Net Banking,5.71,Yes,No,6,Tablet,No,350.44,No
224,4170,Clothing,Net Banking,0.25,Yes,No,68,Tablet,Yes,392.65,No
225,3255,Clothing,UPI,10.66,No,No,63,Tablet,No,143.43,No
226,2154,Electronics,Credit Card,157.14,No,No,1,Desktop,No,173.44,No
227,5499,Beauty,Net Banking,325.53,No,No,66,Desktop,No,292.44,No
228,7295,Electronics,Credit Card,55.68,No,No,78,Mobile,Yes,196.76,No
229,7197,Beauty,Debit Card,71.88,No,No,73,Desktop,No,189.03,No
230,2648,Clothing,Credit Card,15.88,Yes,No,8,Desktop,No,327.19,No
231,6539,Home,Credit Card,80.08,No,No,22,Desktop,No,208.4,No
232,5199,Sports,Net Banking,15.63,No,No,13,Desktop,No,525.77,No
233,9445,Sports,Wallet,94.47,No,No,53,Mobile,No,246.68,No
234,3557,Clothing,Wallet,270.69,No,No,44,Desktop,No,272.98,No
235,6592,Electronics,UPI,21.78,No,No,96,Desktop,No,329.75,No
236,1098,Home,UPI,144.63,Yes,No,15,Mobile,No,149.2,No
237,3200,Beauty,Wallet,2.38,No,No,83,Desktop,No,350.85,No
238,3961,Clothing,Debit Card,47.08,No,No,71,Mobile,Yes,334.15,No
239,5973,Home,Net Banking,11.74,No,No,97,Tablet,No,265.07,No
240,5433,Home,Net Banking,43.46,No,No,94,Tablet,Yes,327.39,No
241,3869,Beauty,Debit Card,19.06,No,No,56,Desktop,No,342.83,No
242,1956,Home,Debit Card,46.73,No,No,7,Desktop,No,443.52,No
243,9352,Electronics,Wallet,54.05,No,No,24,Desktop,No,550.03,No
244,6699,Electronics,UPI,35.75,No,No,40,Desktop,No,193.85,No
245,7944,Electronics,Debit Card,106.89,No,No,61,Tablet,No,170.27,No
246,5493,Home,UPI,251.15,No,No,76,Tablet,No,310.27,No
247,5911,Electronics,Credit Card,51.18,No,No,17,Desktop,Yes,92.11,No
248,4987,Beauty,Net Banking,21.36,No,No,49,Mobile,No,364.94,No
249,7015,Home,Wallet,31.57,No,No,40,Mobile,No,311.31,No
250,2218,Sports,Net Banking,192.42,No,No,33,Tablet,No,336.73,No
251,5496,Home,Wallet,84.78,No,No,99,Mobile,No,269.64,No
252,5735,Beauty,Credit Card,60.7,No,No,80,Desktop,No,325.5,No
253,5555,Sports,Net Banking,16.21,No,No,11,Desktop,No,347.22,No
254,9050,Home,Credit Card,59.73,No,Yes,79,Desktop,No,320,No
255,4446,Electronics,Wallet,32.64,Yes,No,76,Desktop,Yes,165.49,No
256,2045,Clothing,Debit Card,286.76,No,No,74,Desktop,No,317.2,No
257,7893,Clothing,Net Banking,215.48,No,No,77,Mobile,No,485.4,No
258,2693,Electronics,Credit Card,8.76,No,No,41,Mobile,No,324.09,No
259,4436,Clothing,Net Banking,72.7,No,No,54,Tablet,No,313.71,No
260,9754,Clothing,Net Banking,25.5,No,No,91,Tablet,No,456,No
261,6895,Electronics,Net Banking,52.9,No,No,58,Mobile,Yes,225.44,No
262,4354,Electronics,UPI,209.43,No,No,50,Mobile,No,388.97,No
263,1225,Home,Credit Card,74.97,No,No,87,Tablet,No,246.98,No
264,5893,Home,Credit Card,40.68,Yes,No,52,Desktop,No,408.66,No
265,8022,Electronics,Net Banking,23.31,No,No,80,Tablet,Yes,379.8,No
266,6600,Beauty,Debit Card,161.11,No,No,8,Tablet,No,258.77,No
267,8996,Clothing,Net Banking,97.95,No,No,93,Mobile,No,273.4,No
268,8683,Home,UPI,63.12,No,No,2,Tablet,No,397.78,No
269,5642,Clothing,Wallet,24.52,No,No,7,Tablet,No,114.45,No
270,8679,Sports,UPI,40.68,No,No,81,Mobile,No,255.81,No
271,9208,Electronics,Debit Card,321.5,No,No,58,Desktop,No,362.04,No
272,8339,Beauty,Net Banking,73.42,No,No,29,Desktop,No,269.19,No
273,3205,Sports,Credit Card,51.2,No,No,66,Desktop,No,313.49,No
274,2069,Sports,Net Banking,73.69,No,No,54,Mobile,No,95.88,No
275,4444,Sports,Debit Card,150.95,No,No,33,Tablet,No,214.55,No
276,2060,Electronics,Credit Card,41.57,Yes,No,42,Desktop,Yes,367.95,No
277,3327,Home,UPI,19.69,No,No,27,Tablet,No,224.9,No
278,4420,Electronics,Wallet,87.93,No,No,36,Mobile,No,169.75,No
279,1301,Home,Wallet,109.42,No,No,88,Desktop,No,406.16,No
280,1606,Sports,Net Banking,124.73,No,No,29,Desktop,No,351.57,No
281,4170,Sports,UPI,213.7,No,No,70,Tablet,No,191.15,No
282,1699,Beauty,Debit Card,46.39,No,No,61,Desktop,No,313.85,No
283,6088,Home,Wallet,7.83,Yes,No,28,Mobile,No,194.41,No
284,1190,Sports,UPI,317.84,No,No,1,Tablet,No,284.75,No
285,1980,Clothing,Net Banking,57.1,Yes,No,89,Tablet,No,317.6,No
286,3975,Beauty,Credit Card,97.62,No,No,56,Desktop,Yes,219.15,No
287,7102,Electronics,Net Banking,109.75,No,No,56,Desktop,Yes,374.23,No
288,2184,Beauty,Net Banking,79.08,No,No,41,Desktop,No,389.74,No
289,4327,Clothing,UPI,22.97,No,No,48,Desktop,No,326.36,No
290,4394,Home,Wallet,140.71,No,No,56,Tablet,Yes,341.4,No
291,9319,Electronics,UPI,162.84,No,No,70,Tablet,Yes,154.72,No
292,2816,Electronics,Credit Card,80.51,No,No,17,Desktop,Yes,436.22,No
293,6854,Home,UPI,67.05,Yes,No,69,Tablet,No,290.87,No
294,7709,Beauty,Debit Card,12.1,No,No,26,Mobile,No,206.47,No
295,1569,Sports,Net Banking,8.77,No,No,53,Tablet,No,314.58,No
296,6442,Beauty,Wallet,41.49,No,No,23,Mobile,Yes,374.55,No
297,2895,Clothing,Credit Card,37.23,No,No,96,Mobile,Yes,351.23,No
298,3733,Sports,Net Banking,307.17,No,No,94,Mobile,No,191.53,No
299,4863,Beauty,UPI,153.07,No,No,33,Desktop,No,375.76,No
300,8455,Home,Debit Card,107.86,No,No,21,Tablet,No,293.93,No
301,5014,Clothing,UPI,72.91,No,No,87,Mobile,No,350.12,No
302,2686,Clothing,Net Banking,18.32,No,No,62,Desktop,No,219.84,No
303,4009,Clothing,Credit Card,383.77,No,No,35,Tablet,No,404.59,No
304,8806,Sports,Wallet,47.01,No,No,91,Tablet,No,318.27,No
305,1154,Electronics,Net Banking,11.31,No,No,83,Desktop,No,418.88,No
306,2409,Sports,Credit Card,68.08,No,No,60,Tablet,No,146.51,No
307,1784,Beauty,Net Banking,207.15,No,No,81,Desktop,No,159.86,No
308,9096,Electronics,Debit Card,218.29,No,No,41,Desktop,No,276,No
309,8560,Beauty,UPI,1.1,No,No,95,Desktop,No,446.76,No
310,8343,Electronics,Wallet,217.42,No,No,32,Tablet,No,496.28,No
311,8206,Sports,Credit Card,31.67,No,No,73,Desktop,No,211.16,No
312,6596,Clothing,Wallet,3.98,Yes,No,8,Desktop,No,305.3,No
313,6801,Home,Wallet,188.25,No,No,24,Tablet,No,315.52,No
314,3806,Clothing,Wallet,199.41,No,No,12,Mobile,No,371.82,No
315,1537,Sports,Credit Card,90.69,No,No,46,Desktop,No,388.5,No
316,6986,Electronics,Credit Card,85.43,No,Yes,44,Desktop,No,188.56,No
317,2841,Clothing,Wallet,167.73,No,No,4,Mobile,No,306.46,No
318,9716,Sports,UPI,154.32,No,No,30,Tablet,No,99.15,No
319,7971,Beauty,Net Banking,220.82,No,No,30,Tablet,No,381.08,No
320,6625,Home,Wallet,80.46,No,No,97,Tablet,No,266.14,No
321,3950,Clothing,Debit Card,343.11,No,No,89,Desktop,No,179.46,No
322,8992,Electronics,Wallet,555.89,Yes,No,70,Mobile,No,333.25,No
323,5780,Beauty,Credit Card,12.39,No,Yes,40,Tablet,No,263.01,No
324,3368,Sports,Net Banking,189.41,No,No,45,Mobile,No,426.15,No
325,7655,Home,Debit Card,69.28,No,No,51,Tablet,No,210.74,No
326,9173,Electronics,Net Banking,49.03,No,No,83,Desktop,No,522.3,No
327,5495,Sports,Net Banking,94.95,No,Yes,85,Tablet,No,385.46,No
328,7002,Sports,Debit Card,5.76,No,No,4,Mobile,No,428.77,No
329,7614,Clothing,Wallet,70.62,Yes,No,11,Mobile,Yes,197.12,No
330,6919,Clothing,Wallet,204.71,Yes,No,20,Mobile,No,478.85,No
331,1853,Electronics,Wallet,24.01,No,No,8,Desktop,Yes,178.75,No
332,5146,Sports,UPI,55.58,No,No,92,Tablet,No,279.02,No
333,4769,Clothing,Wallet,280.48,No,No,90,Desktop,No,430.47,No
334,1574,Home,Debit Card,55.96,No,No,16,Desktop,No,350.68,No
335,2148,Home,UPI,44.37,No,No,23,Mobile,No,176.08,No
336,7293,Sports,Wallet,58.08,No,No,26,Mobile,No,413.54,No
337,7457,Clothing,UPI,73.28,No,No,7,Desktop,No,334,No
338,8509,Electronics,Debit Card,99.96,No,No,43,Desktop,No,258.38,No
339,5777,Electronics,Wallet,161.29,No,No,61,Tablet,Yes,145.8,No
340,4854,Electronics,Credit Card,60.17,No,No,28,Mobile,No,343.48,No
341,3491,Home,Debit Card,170.09,No,No,82,Mobile,No,283.66,No
342,4124,Clothing,Net Banking,76.3,Yes,No,73,Mobile,Yes,315.63,No
343,6691,Clothing,Net Banking,41.32,No,No,23,Tablet,No,141.48,No
344,4051,Home,Debit Card,107.28,No,No,33,Tablet,No,258.13,No
345,1004,Electronics,Net Banking,126.49,No,No,59,Mobile,No,348.03,No
346,6222,Electronics,Debit Card,81.66,No,Yes,30,Mobile,No,487.65,No
347,6315,Sports,Credit Card,5.83,No,Yes,3,Desktop,No,279.47,No
348,5869,Beauty,Debit Card,18.62,No,No,94,Desktop,No,444.33,No
349,1876,Clothing,Wallet,33.59,No,No,8,Tablet,No,378.73,No
350,8027,Clothing,Wallet,33.22,No,No,89,Mobile,No,323.38,No
351,5142,Clothing,UPI,111.91,Yes,No,76,Desktop,No,198.77,No
352,7966,Beauty,Net Banking,1.85,No,No,89,Desktop,No,202.95,No
353,8079,Sports,Net Banking,140.93,Yes,No,53,Mobile,No,361.75,No
354,8987,Beauty,Debit Card,30.84,Yes,No,0,Mobile,No,247.35,No
355,7799,Electronics,Net Banking,37.11,No,No,60,Desktop,No,238.46,No
356,5465,Electronics,Wallet,75.06,Yes,No,72,Mobile,No,281.94,No
357,1635,Clothing,Credit Card,24.33,No,No,30,Mobile,No,283.62,No
358,2693,Home,Debit Card,215.82,No,No,87,Tablet,Yes,390.08,No
